snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
162758008#,On examination - height within 10% average (context-dependent category),543901012#,1,1,2,253672015#,O/E -height within 10% average,2293,2293.00,253672015,NA,2
162758008#,On examination - height within 10% average (context-dependent category),543901012#,1,1,2,4551731000006110#,On examination - height within 10% average,^ESCTON455173,NA,2666501012,NA,2
162758008#,On examination - height within 10% average (finding),2560337011#,1,1,2,253672015#,O/E -height within 10% average,2293,2293.00,253672015,NA,2
162758008#,On examination - height within 10% average (finding),2560337011#,1,1,2,4551731000006110#,On examination - height within 10% average,^ESCTON455173,NA,2666501012,NA,2
162758008#,On examination - height within 10% average,2666501012#,1,1,2,253672015#,O/E -height within 10% average,2293,2293.00,253672015,NA,2
162758008#,On examination - height within 10% average,2666501012#,1,1,2,4551731000006110#,On examination - height within 10% average,^ESCTON455173,NA,2666501012,NA,2
162759000#,O/E-height 10-20% over average,253673013#,1,1,2,253673013#,O/E-height 10-20% over average,2294,2294.00,253673013,NA,2
162759000#,O/E-height 10-20% over average,253673013#,1,1,2,4551751000006115#,On examination - height 10-20% over average,^ESCTON455175,NA,2668038013,NA,2
162759000#,On examination - height 10-20% over average (context-dependent category),543902017#,1,1,2,253673013#,O/E-height 10-20% over average,2294,2294.00,253673013,NA,2
162759000#,On examination - height 10-20% over average (context-dependent category),543902017#,1,1,2,4551751000006115#,On examination - height 10-20% over average,^ESCTON455175,NA,2668038013,NA,2
162759000#,On examination - height 10-20% over average (finding),2560592015#,1,1,2,253673013#,O/E-height 10-20% over average,2294,2294.00,253673013,NA,2
162759000#,On examination - height 10-20% over average (finding),2560592015#,1,1,2,4551751000006115#,On examination - height 10-20% over average,^ESCTON455175,NA,2668038013,NA,2
162759000#,On examination - height 10-20% over average,2668038013#,1,1,2,253673013#,O/E-height 10-20% over average,2294,2294.00,253673013,NA,2
162759000#,On examination - height 10-20% over average,2668038013#,1,1,2,4551751000006115#,On examination - height 10-20% over average,^ESCTON455175,NA,2668038013,NA,2
162760005#,O/E - height greater than 20% over average,253674019#,1,1,2,4551771000006113#,On examination - height greater than 20% over average,^ESCTON455177,NA,2668039017,NA,2
162760005#,O/E - height greater than 20% over average,253674019#,1,1,2,4551761000006118#,O/E - height greater than 20% over average,^ESCTOE455176,NA,253674019,NA,2
162760005#,O/E - height greater than 20% over average,253674019#,1,1,2,272151000006114#,O/E -height > 20% over average,2295,2295.00,253674019,NA,2
162760005#,On examination - height greater than 20% over average (context-dependent category),543903010#,1,1,2,4551771000006113#,On examination - height greater than 20% over average,^ESCTON455177,NA,2668039017,NA,2
162760005#,On examination - height greater than 20% over average (context-dependent category),543903010#,1,1,2,4551761000006118#,O/E - height greater than 20% over average,^ESCTOE455176,NA,253674019,NA,2
162760005#,On examination - height greater than 20% over average (context-dependent category),543903010#,1,1,2,272151000006114#,O/E -height > 20% over average,2295,2295.00,253674019,NA,2
162760005#,On examination - height greater than 20% over average (finding),2560593013#,1,1,2,4551771000006113#,On examination - height greater than 20% over average,^ESCTON455177,NA,2668039017,NA,2
162760005#,On examination - height greater than 20% over average (finding),2560593013#,1,1,2,4551761000006118#,O/E - height greater than 20% over average,^ESCTOE455176,NA,253674019,NA,2
162760005#,On examination - height greater than 20% over average (finding),2560593013#,1,1,2,272151000006114#,O/E -height > 20% over average,2295,2295.00,253674019,NA,2
162760005#,On examination - height greater than 20% over average,2668039017#,1,1,2,4551771000006113#,On examination - height greater than 20% over average,^ESCTON455177,NA,2668039017,NA,2
162760005#,On examination - height greater than 20% over average,2668039017#,1,1,2,4551761000006118#,O/E - height greater than 20% over average,^ESCTOE455176,NA,253674019,NA,2
162760005#,On examination - height greater than 20% over average,2668039017#,1,1,2,272151000006114#,O/E -height > 20% over average,2295,2295.00,253674019,NA,2
83077003#,Increased body height,137797015#,1,1,2,3851901000006119#,Tall stature for age,^ESCTTA385190,NA,137799017,NA,31
83077003#,Increased body height,137797015#,1,1,2,3851891000006118#,Tall for age,^ESCTTA385189,NA,137798013,NA,31
83077003#,Tall for age,137798013#,1,1,2,3851901000006119#,Tall stature for age,^ESCTTA385190,NA,137799017,NA,31
83077003#,Tall for age,137798013#,1,1,2,3851891000006118#,Tall for age,^ESCTTA385189,NA,137798013,NA,31
83077003#,Tall stature for age,137799017#,1,1,2,3851901000006119#,Tall stature for age,^ESCTTA385190,NA,137799017,NA,31
83077003#,Tall stature for age,137799017#,1,1,2,3851891000006118#,Tall for age,^ESCTTA385189,NA,137798013,NA,31
83077003#,Tall for age (finding),824634013#,1,1,2,3851901000006119#,Tall stature for age,^ESCTTA385190,NA,137799017,NA,31
83077003#,Tall for age (finding),824634013#,1,1,2,3851891000006118#,Tall for age,^ESCTTA385189,NA,137798013,NA,31
248327008#,General finding of height,370721016#,1,1,2,5256071000006119#,General finding of height,^ESCTGE525607,NA,370721016,NA,31
248327008#,General finding of height,370721016#,1,1,2,5256081000006116#,General appraisal of height,^ESCTGE525608,NA,1224090017,NA,31
248327008#,General finding of height (finding),638614012#,1,1,2,5256071000006119#,General finding of height,^ESCTGE525607,NA,370721016,NA,31
248327008#,General finding of height (finding),638614012#,1,1,2,5256081000006116#,General appraisal of height,^ESCTGE525608,NA,1224090017,NA,31
248327008#,General appraisal of height,1224090017#,1,1,2,5256071000006119#,General finding of height,^ESCTGE525607,NA,370721016,NA,31
248327008#,General appraisal of height,1224090017#,1,1,2,5256081000006116#,General appraisal of height,^ESCTGE525608,NA,1224090017,NA,31
248328003#,Tall stature,370722011#,1,1,2,5256091000006118#,Tall stature,^ESCTTA525609,NA,370722011,NA,31
248328003#,Tall stature,370722011#,1,1,2,5256101000006112#,Large stature,^ESCTLA525610,NA,370723018,NA,31
248328003#,Large stature,370723018#,1,1,2,5256091000006118#,Tall stature,^ESCTTA525609,NA,370722011,NA,31
248328003#,Large stature,370723018#,1,1,2,5256101000006112#,Large stature,^ESCTLA525610,NA,370723018,NA,31
248328003#,Tall stature (finding),638615013#,1,1,2,5256091000006118#,Tall stature,^ESCTTA525609,NA,370722011,NA,31
248328003#,Tall stature (finding),638615013#,1,1,2,5256101000006112#,Large stature,^ESCTLA525610,NA,370723018,NA,31
50373000#,Body height,83914018#,1,1,2,3315711000006110#,Body height measure,^ESCTBO331571,NA,495662010,NA,31
50373000#,Body height,83914018#,1,1,2,3315721000006119#,Body height,^ESCTBO331572,NA,83914018,NA,31
50373000#,"Body height, NOS",83915017#,1,1,2,3315711000006110#,Body height measure,^ESCTBO331571,NA,495662010,NA,31
50373000#,"Body height, NOS",83915017#,1,1,2,3315721000006119#,Body height,^ESCTBO331572,NA,83914018,NA,31
50373000#,"Body length, NOS",83916016#,1,1,2,3315711000006110#,Body height measure,^ESCTBO331571,NA,495662010,NA,31
50373000#,"Body length, NOS",83916016#,1,1,2,3315721000006119#,Body height,^ESCTBO331572,NA,83914018,NA,31
50373000#,Body length,83917013#,1,1,2,3315711000006110#,Body height measure,^ESCTBO331571,NA,495662010,NA,31
50373000#,Body length,83917013#,1,1,2,3315721000006119#,Body height,^ESCTBO331572,NA,83914018,NA,31
50373000#,Body height measure,495662010#,1,1,2,3315711000006110#,Body height measure,^ESCTBO331571,NA,495662010,NA,31
50373000#,Body height measure,495662010#,1,1,2,3315721000006119#,Body height,^ESCTBO331572,NA,83914018,NA,31
50373000#,Body height measure (observable entity),788154012#,1,1,2,3315711000006110#,Body height measure,^ESCTBO331571,NA,495662010,NA,31
50373000#,Body height measure (observable entity),788154012#,1,1,2,3315721000006119#,Body height,^ESCTBO331572,NA,83914018,NA,31
248333004#,Standing height,370729019#,1,1,2,253669010#,Standing height,229,229..00,370729019,NA,2
248333004#,Standing height,370729019#,1,1,2,5256151000006111#,Standing height,^ESCTST525615,NA,5256151000006111,NA,2
248333004#,Standing height,370729019#,1,1,2,253676017#,O/E - height NOS,229Z,229Z.00,370729019,NA,2
248333004#,Standing height (observable entity),638621012#,1,1,2,253669010#,Standing height,229,229..00,370729019,NA,2
248333004#,Standing height (observable entity),638621012#,1,1,2,5256151000006111#,Standing height,^ESCTST525615,NA,5256151000006111,NA,2
248333004#,Standing height (observable entity),638621012#,1,1,2,253676017#,O/E - height NOS,229Z,229Z.00,370729019,NA,2
309534003#,Normal height,452982012#,1,1,2,5990011000006117#,Normal height,^ESCTNO599001,NA,452982012,NA,31
309534003#,Normal height (finding),706058019#,1,1,2,5990011000006117#,Normal height,^ESCTNO599001,NA,452982012,NA,31
271817008#,Has not grown in height,406786011#,1,1,2,5529871000006114#,Height static,^ESCTHE552987,NA,406788012,NA,32
271817008#,Has not grown in height,406786011#,1,1,2,317246015#,Lack of growth,R0343,R034300,406787019,NA,32
271817008#,Has not grown in height,406786011#,1,1,2,5529851000006116#,Has not grown in height,^ESCTHA552985,NA,406786011,NA,32
271817008#,Lack of growth,406787019#,1,1,2,5529871000006114#,Height static,^ESCTHE552987,NA,406788012,NA,32
271817008#,Lack of growth,406787019#,1,1,2,317246015#,Lack of growth,R0343,R034300,406787019,NA,32
271817008#,Lack of growth,406787019#,1,1,2,5529851000006116#,Has not grown in height,^ESCTHA552985,NA,406786011,NA,32
