snomedcode,term_snomed,id,search_terms,read_mapping,cam,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
42689008#,Decreased diastolic arterial,71232013#,1,0,1,2,3188151000006110#,Decreased diastolic arterial,^ESCTDE318815,NA,71232013,NA,31
42689008#,Decreased diastolic arterial,71232013#,1,0,1,2,3188141000006113#,Decreased diastolic blood pressure,^ESCTDE318814,NA,71231018,NA,31
42689008#,Decreased diastolic arterial,71232013#,1,0,1,2,3188131000006115#,Low diastolic arterial pressure,^ESCTLO318813,NA,71227012,NA,31
42689008#,Low diastolic arterial,71233015#,1,0,1,2,3188161000006112#,Low diastolic arterial,^ESCTLO318816,NA,71233015,NA,31
42689008#,Low diastolic arterial,71233015#,1,0,1,2,3188121000006118#,Decreased diastolic arterial pressure,^ESCTDE318812,NA,71228019,NA,31
42689008#,Low diastolic arterial,71233015#,1,0,1,2,3188151000006110#,Decreased diastolic arterial,^ESCTDE318815,NA,71232013,NA,31
42689008#,Low diastolic arterial,71233015#,1,0,1,2,3188141000006113#,Decreased diastolic blood pressure,^ESCTDE318814,NA,71231018,NA,31
42689008#,Low diastolic arterial,71233015#,1,0,1,2,3188131000006115#,Low diastolic arterial pressure,^ESCTLO318813,NA,71227012,NA,31
42689008#,Decreased diastolic arterial pressure (finding),779615013#,1,0,1,2,3188161000006112#,Low diastolic arterial,^ESCTLO318816,NA,71233015,NA,31
42689008#,Decreased diastolic arterial pressure (finding),779615013#,1,0,1,2,3188121000006118#,Decreased diastolic arterial pressure,^ESCTDE318812,NA,71228019,NA,31
42689008#,Decreased diastolic arterial pressure (finding),779615013#,1,0,1,2,3188151000006110#,Decreased diastolic arterial,^ESCTDE318815,NA,71232013,NA,31
42689008#,Decreased diastolic arterial pressure (finding),779615013#,1,0,1,2,3188141000006113#,Decreased diastolic blood pressure,^ESCTDE318814,NA,71231018,NA,31
42689008#,Decreased diastolic arterial pressure (finding),779615013#,1,0,1,2,3188131000006115#,Low diastolic arterial pressure,^ESCTLO318813,NA,71227012,NA,31
49844009#,Abnormal diastolic arterial pressure,83026014#,1,0,1,2,3306801000006114#,Abnormal diastolic arterial,^ESCTAB330680,NA,83029019,NA,31
49844009#,Abnormal diastolic arterial pressure,83026014#,1,0,1,2,3306781000006110#,Abnormal diastolic arterial pressure,^ESCTAB330678,NA,83026014,NA,31
49844009#,Abnormal diastolic arterial pressure,83026014#,1,0,1,2,3306791000006113#,Abnormal diastolic blood pressure,^ESCTAB330679,NA,83028010,NA,31
49844009#,Abnormal diastolic arterial pulse pressure,83027017#,1,0,1,2,3306801000006114#,Abnormal diastolic arterial,^ESCTAB330680,NA,83029019,NA,31
49844009#,Abnormal diastolic arterial pulse pressure,83027017#,1,0,1,2,3306781000006110#,Abnormal diastolic arterial pressure,^ESCTAB330678,NA,83026014,NA,31
49844009#,Abnormal diastolic arterial pulse pressure,83027017#,1,0,1,2,3306791000006113#,Abnormal diastolic blood pressure,^ESCTAB330679,NA,83028010,NA,31
49844009#,Abnormal diastolic arterial,83029019#,1,0,1,2,3306801000006114#,Abnormal diastolic arterial,^ESCTAB330680,NA,83029019,NA,31
49844009#,Abnormal diastolic arterial,83029019#,1,0,1,2,3306781000006110#,Abnormal diastolic arterial pressure,^ESCTAB330678,NA,83026014,NA,31
49844009#,Abnormal diastolic arterial,83029019#,1,0,1,2,3306791000006113#,Abnormal diastolic blood pressure,^ESCTAB330679,NA,83028010,NA,31
49844009#,Abnormal diastolic arterial pressure (finding),787567019#,1,0,1,2,3306801000006114#,Abnormal diastolic arterial,^ESCTAB330680,NA,83029019,NA,31
49844009#,Abnormal diastolic arterial pressure (finding),787567019#,1,0,1,2,3306781000006110#,Abnormal diastolic arterial pressure,^ESCTAB330678,NA,83026014,NA,31
49844009#,Abnormal diastolic arterial pressure (finding),787567019#,1,0,1,2,3306791000006113#,Abnormal diastolic blood pressure,^ESCTAB330679,NA,83028010,NA,31
53813002#,Normal diastolic arterial pressure,89435017#,1,0,1,2,3372531000006111#,Normal diastolic arterial pressure,^ESCTNO337253,NA,89435017,NA,31
53813002#,Normal diastolic arterial pressure,89435017#,1,0,1,2,3372541000006118#,Normal diastolic blood pressure,^ESCTNO337254,NA,89437013,NA,31
53813002#,Normal diastolic arterial pressure,89435017#,1,0,1,2,3372551000006116#,Normal diastolic arterial,^ESCTNO337255,NA,89438015,NA,31
