snomedcode,term_snomed,id,search_terms,read_mapping,cam,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
163031004#,On examination - Diastolic BP reading,2667440012#,1,1,1,3,4556621000006110#,On examination - Diastolic blood pressure reading,^ESCTON455662,NA,2667439010,NA,31
163031004#,On examination - Diastolic BP reading,2667440012#,1,1,1,3,11924381000006114#,O/E - Diastolic BP reading,^ESCT1192438,NA,254076013,NA,27
163031004#,On examination - Diastolic BP reading,2667440012#,1,1,1,3,4556631000006113#,On examination - Diastolic BP reading,^ESCTON455663,NA,2667440012,NA,31
413605002#,Average home diastolic blood pressure (observable entity),2530200013#,1,1,1,3,2533636015#,Average home diastolic blood pressure,246c,246c.00,2533636015,NA,2
413605002#,Average home diastolic blood pressure,2533636015#,1,1,1,3,2533636015#,Average home diastolic blood pressure,246c,246c.00,2533636015,NA,2
400975005#,Standing diastolic blood pressure (observable entity),1768896011#,1,1,1,3,1780183016#,Standing diastolic blood pressure,246P,246P.00,1780183016,NA,2
400975005#,Standing diastolic blood pressure,1780183016#,1,1,1,3,1780183016#,Standing diastolic blood pressure,246P,246P.00,1780183016,NA,2
407555005#,Sitting diastolic blood pressure (observable entity),2151386013#,1,1,1,3,2159156012#,Sitting diastolic blood pressure,246R,246R.00,2159156012,NA,2
407555005#,Sitting diastolic blood pressure,2159156012#,1,1,1,3,2159156012#,Sitting diastolic blood pressure,246R,246R.00,2159156012,NA,2
407557002#,Lying diastolic blood pressure (observable entity),2151388014#,1,1,1,3,2159158013#,Lying diastolic blood pressure,246T,246T.00,2159158013,NA,2
407557002#,Lying diastolic blood pressure,2159158013#,1,1,1,3,2159158013#,Lying diastolic blood pressure,246T,246T.00,2159158013,NA,2
314462001#,Average 24 hour diastolic blood pressure,458825018#,1,1,1,3,458825018#,Average 24 hour diastolic blood pressure,246V,246V.00,458825018,NA,2
314462001#,Average 24 hour diastolic blood pressure (observable entity),711269019#,1,1,1,3,458825018#,Average 24 hour diastolic blood pressure,246V,246V.00,458825018,NA,2
314461008#,Average day interval diastolic blood pressure,458824019#,1,1,1,3,458824019#,Average day interval diastolic blood pressure,246X,246X.00,458824019,NA,2
314461008#,Average day interval diastolic blood pressure (observable entity),711268010#,1,1,1,3,458824019#,Average day interval diastolic blood pressure,246X,246X.00,458824019,NA,2
271650006#,Diastolic blood pressure,406508013#,1,1,1,3,5527231000006116#,DBP - Diastolic blood pressure,^ESCTDB552723,NA,1225213015,NA,2
271650006#,Diastolic blood pressure,406508013#,1,1,1,3,5527221000006119#,DAP - Diastolic arterial pressure,^ESCTDA552722,NA,1225212013,NA,2
271650006#,Diastolic blood pressure,406508013#,1,1,1,3,5527241000006114#,Diastolic arterial pressure,^ESCTDI552724,NA,2620223019,NA,2
271650006#,Diastolic blood pressure,406508013#,1,1,1,3,5527211000006110#,Diastolic blood pressure,^ESCTDI552721,NA,406508013,NA,2
271650006#,Diastolic blood pressure (observable entity),664068015#,1,1,1,3,5527231000006116#,DBP - Diastolic blood pressure,^ESCTDB552723,NA,1225213015,NA,2
271650006#,Diastolic blood pressure (observable entity),664068015#,1,1,1,3,5527221000006119#,DAP - Diastolic arterial pressure,^ESCTDA552722,NA,1225212013,NA,2
271650006#,Diastolic blood pressure (observable entity),664068015#,1,1,1,3,5527241000006114#,Diastolic arterial pressure,^ESCTDI552724,NA,2620223019,NA,2
