MedCodeID,Term
12107551000006112,Sleep related movement disorder
8025611000006111,Central sleep apnoea due to periodic breathing
8025621000006115,Central sleep apnea due to periodic breathing
2287351000000110,On melatonin for sleep disorder
3945311000006114,Opioid-induced sleep disorder
3945321000006118,Opioid induced sleep disorder
3946191000006110,Rebound insomnia
3953251000006119,Hypersomnia due to mental disorder
3953261000006117,Hypersomnia due to psychological disorder
3953241000006116,Hypersomnia disorder related to another mental disorder
3957671000006117,Sleep terror disorder
675081000006111,Night terrors
3957681000006119,Sleep terrors
427011000006112,[X]Sleep terrors
8027111000006110,Sleep related hypoventilation or hypoxemia
8027101000006112,Sleep related hypoventilation or hypoxaemia
8027121000006119,Organic sleep related movement disorder
8027311000006113,Behavioural insomnia of childhood
8027321000006117,Behavioral insomnia of childhood
8028121000006118,Drug-induced insomnia
8028161000006112,Central sleep apnoea due to high altitude
8028131000006115,Central sleep apnoea caused by high altitude
8028151000006110,Central sleep apnea due to high altitude
8028141000006113,Central sleep apnea caused by high altitude
8028171000006117,Circadian rhythm disorder caused by drug
8028181000006119,Drug induced circadian rhythm disorder
8028191000006116,Drug-induced hypersomnia
8028201000006118,Hypersomnia due to drug or substance
8028221000006111,Narcolepsy without cataplexy
8029491000006118,Insomnia co-occurrent and due to nocturnal myoclonus
7990971000006112,Primary central sleep apnoea
7990981000006110,Primary central sleep apnea
8365511000006115,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 10 - problems with sleeping
8031371000006113,Organic sleep-wake cycle disorder
675161000006119,Nightmares
295427011,'Short-sleeper'
77147016,Cataplexy
1222473015,[D]Sleep rhythm problems
407068013,C/O - somnolence
459355013,Poor sleep pattern
1780361011,Delayed onset of sleep
49145012,Light sleep
602651000000115,ISI (Insomnia Severity Index) score
643141000000111,Education about sleep hygiene behaviour
2694806018,Seen in sleep clinic
21110011,Restless sleep
501956016,Dream disorder
399991000006114,[X]Nightmares
378291000006117,[X]Dream anxiety disorder
2159265012,Nocturnal sleep-related eating disorder
457106016,[D]Sleep apnoea syndrome
303181000006112,[D]Syndrome sleep apnoea
