readcode,term_readcode,category,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
XaPGa#,Main spoken language Wolof,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGa#
XaPGS#,Main spoken language Tibetan,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGS#
XaG6A#,Main spoken language Urdu,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG6A#
XaG69#,Main spoken language Tamil,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG69#
XaG6B#,Main spoken language Yoruba,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG6B#
XaJDR#,Main spoken language Ukrainian,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJDR#
XaJDQ#,Main spoken language Turkish,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJDQ#
XaJPB#,Main spoken language Thai,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJPB#
XaJPA#,Main spoken language Tagalog,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJPA#
XaJPD#,Main spoken language Welsh,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJPD#
XaJPC#,Main spoken language Tigrinya,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJPC#
XaJDS#,Main spoken language Vietnamese,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJDS#
XaPGc#,Main spoken language Yiddish,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGc#
XaPGY#,Main spoken language Uzbek,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGY#
XaPGd#,Main spoken language Zhuang,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGd#
XaPGe#,Main spoken language Zulu,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGe#
XaX3X#,Main spoken language Tetum,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaX3X#
Xacg0#,Main spoken language Western Frisian,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xacg0#
Xackw#,Main spoken language Tahitian,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xackw#
Xacky#,Main spoken language Venda,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xacky#
Xackz#,Main spoken language Volapuk,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xackz#
Xacl0#,Main spoken language Walloon,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,Xacl0#
XaedX#,Main spoken language Romany,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaedX#
XaPGD#,Main spoken language Romansh,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGD#
XaPG7#,Main spoken language Nauru,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPG7#
XaPF7#,Main spoken language Oromo,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPF7#
XaPG9#,Main spoken language Occitan,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPG9#
XaPG8#,Main spoken language Nepali,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPG8#
XaPGA#,Main spoken language Oriya,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGA#
XaPGF#,Main spoken language Sango,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGF#
XaPGC#,Main spoken language Quechua,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGC#
XaPGE#,Main spoken language Samoan,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGE#
XaPGO#,Main spoken language Sundanese,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGO#
XaPGK#,Main spoken language Sindhi,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGK#
XaPGI#,Main spoken language Southern Sotho,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGI#
XaPGM#,Main spoken language Swati,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGM#
XaPGN#,Main spoken language Slovenian,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGN#
XaG64#,Main spoken language Russian,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG64#
XaP9z#,Main spoken language Slovak,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaP9z#
XaG63#,Main spoken language Punjabi,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG63#
XaP49#,Main spoken language Romanian,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaP49#
XaG61#,Main spoken language Polish,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG61#
XaG66#,Main spoken language Spanish,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG66#
XaG65#,Main spoken language Somali,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG65#
XaG68#,Main spoken language Sylheti,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG68#
XaG62#,Main spoken language Portuguese,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaG62#
XaJP9#,Main spoken language Swedish,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJP9#
XaJP5#,Main spoken language Pashto,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJP5#
XaJP7#,Main spoken language Serbian,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaJP7#
