snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
970741000000100#,NA,First Language Not English,NA#,0,1,1,1706171000006119#,Main spoken language Manx,EMISNQMA45,NA,2.47E+15,NA,17
970741000000100#,NA,First Language Not English,NA#,0,1,1,8356111000006110#,Main spoken language Manx,^ESCTMA835611,NA,8.36E+15,NA,17
970601000000105#,NA,First Language Not English,NA#,0,1,1,8355971000006111#,Main spoken language Haitian,^ESCTMA835597,NA,8.36E+15,NA,17
970601000000105#,NA,First Language Not English,NA#,0,1,1,1706191000006118#,Main spoken language Haitian,EMISNQMA47,NA,2.47E+15,NA,17
970611000000107#,NA,First Language Not English,NA#,0,1,1,1706201000006115#,Main spoken language Herero,EMISNQMA48,NA,2.47E+15,NA,17
970611000000107#,NA,First Language Not English,NA#,0,1,1,8355981000006114#,Main spoken language Herero,^ESCTMA835598,NA,8.36E+15,NA,17
970621000000101#,NA,First Language Not English,NA#,0,1,1,8356001000006113#,Main spoken language Hiri Motu,^ESCTMA835600,NA,8.36E+15,NA,17
970621000000101#,NA,First Language Not English,NA#,0,1,1,1706211000006117#,Main spoken language Hiri Motu,EMISNQMA49,NA,2.47E+15,NA,17
970631000000104#,NA,First Language Not English,NA#,0,1,1,8356011000006111#,Main spoken language Ido,^ESCTMA835601,NA,8.36E+15,NA,17
970631000000104#,NA,First Language Not English,NA#,0,1,1,1706221000006113#,Main spoken language Ido,EMISNQMA50,NA,2.47E+15,NA,17
970641000000108#,NA,First Language Not English,NA#,0,1,1,8356021000006115#,Main spoken language Kanuri,^ESCTMA835602,NA,8.36E+15,NA,17
970641000000108#,NA,First Language Not English,NA#,0,1,1,1706241000006118#,Main spoken language Kanuri,EMISNQMA52,NA,2.47E+15,NA,17
970651000000106#,NA,First Language Not English,NA#,0,1,1,1706261000006119#,Main spoken language Komi,EMISNQMA54,NA,2.47E+15,NA,17
970651000000106#,NA,First Language Not English,NA#,0,1,1,8356031000006117#,Main spoken language Komi,^ESCTMA835603,NA,8.36E+15,NA,17
